class,tweet
neutral,كارثة جالاكسي نوت 7 تفتح الباب أمام شركة أبل لتحقيق مبيعات خرافيةاكتشفوا بالمزيد بالأرقام https://t.co/R6g1HAkWQ5 https://t.co/3KXuDSVfso
negative,لندن تحظر على وزارئها ارتداء ساعات أبل .. والسبب ؟! https://t.co/VUb1M4cpKw
negative,بريطانيا تحظر ساعة “ أبل ” الذكية داخل الاجتماعات الرسمية: حذرت رئاسة الوزراء البريطانية، جميع المسؤولي... https://t.co/SYZs5SkbBP
positive,تطبيق ماسنجر فيس بوك على أندرويد يتجاوز مليار تحميل https://t.co/BKwSHPPbPZ
neutral,RT @hossamhammouri: تطبيق #Cram لضغط حجم الصور على #أندرويد دون التأثير على الدقة#CramApp #تطبيقاتhttps://t.co/B0mkV1UU2l
negative,اذا جالك تف علية و متخليهوش يتحمل و اوقف التحديث الآلي.نظام أندرويد 7.0 نوجا يعاني من مشكلة الاستقرار https://t.co/xVAzUpEJDO
negative,عالم #التقنية : أندرويد نوجا يتعطل أكثر من iOS 10 – إحصائيات https://t.co/9JuTMeiTbE https://t.co/wzWmUISY0F#تقنية
neutral,RT @AbuOmar_AE: كيفية قفل التطبيقات في نظام #أندرويدhttps://t.co/c2V8D76DzX#تقنية#نصائح_تقنية
neutral,كيف يمكن تثبيت نظام أندرويد على اللابتوب ؟ https://t.co/EjGPSI98ey
neutral,RT @TechVoicenet: الآن يمكنك الحصول على واجهة #أندرويد نوجا 7.1 قبل الإعلان عنه https://t.co/i2DsqjKpFC https://t.co/ISgvuwPaBS
positive,فيديو: نظرة سريعة على إصدار أندرويد الأخير نوغا Android Nougat 7.0 الجديد - https://t.co/8T96nXVnQJ
positive,أغنية جوجل لنسخة أندرويد الجديدة M https://t.co/yWj5uQiWfW
positive,كيف تحمي #هاتفك الذكي بنظام أندرويد من #القرصنة؟رابط الموقع الجديد: https://t.co/qiaZqK7NNYhttps://t.co/yFmwImyvZu
neutral,RT @7436Faisl: الروت على أندرويد: كل ما تريد معرفته https://t.co/R5DpnaAd8q
positive,“كيف تحمي هاتفك الذكي بنظام أندرويد من القرصنة؟” by @Arabi21News https://t.co/GXqyjYWih0
neutral,"#مصر | #التحرير | كيف تحمي هاتف أندرويد"" من الإختراق ؟! https://t.co/SkWlBnB98T | الشعب |#جبهة_تحيا_مصر https://t.co/7aENIYiNJk"""
positive,أندرويد 7.0 (نوجا) يصل أخيرًا إلى Nexus 6 مع تحديث أكتوبر الأمنيhttps://t.co/1wtgOBOdY8 #امل_عباس
positive,واتس اب على أندرويد يجلب إمكانية الرسم وإضافة الرموز التعبيرية فوق الصور والفيديوhttps://t.co/aO2IfqaFUI #ريال_مدريد #برشلونة
positive,خاصية Doze للمحافظة على شحن بطارية الهاتف لأطول مدة ممكنه https://t.co/s7BDUAkHcG https://t.co/20RERmGwpv
positive,مزامنة جهات الاتصال في هاتف الأندرويد مع حساب Gmailhttps://t.co/J8Kc9X0SBv https://t.co/rR0j9QIVE8
neutral,"تفاصيل جديدة عن هاتف نوكيا أندرويد المقبل: ظهرت على موقع جيك بنش"" تفاصيل جديدة عن هاتف نوكيا الذي يعمل بنظام... https://t.co/VyKu8wC94k"""
negative,جوجل: لهذا السبب لن نسد ثغرة أندرويد https://t.co/pM4BgiHCux
positive,6 مميزات عظيمة يمتلكها #أندرويد ويفتقر إليها #آيفون .. ما هي؟https://t.co/j073rM2VVa@AppleSupport… https://t.co/CRGjahuUFh
neutral,هواتف نوكيا الذكية بنظام أندرويد قادمة نهاية العام الحالي https://t.co/nWLiEEXeW3
positive,انشاء اختصارات للجمل التي تستخدمها كثيرا أثناء الكتابة في الأيفون https://t.co/s7BDUAkHcG#أيفون #تطبيقات_ايفون https://t.co/9S9qe0zamu
neutral,شارك صورك في Instagram دون فتح التطبيق https://t.co/s7BDUAkHcG  #iOS https://t.co/Kz38IzYrbh
positive,RT @20fourMedia: فكّر... لعبة ألغاز عربية مسلية على أجهزة أندرويدhttps://t.co/v6gEDjpIck https://t.co/EhQdaxP1lr
neutral,RT @techwd: أندرويد على هواتف جوجل Pixel وPixel XL بميّزات لن تحصل عليها بقية الهواتفhttps://t.co/WTSirjfoPL https://t.co/BSYQbBVWsk
neutral,لعبة الألغاز فكّر على أندرويد حلل الصور والرموز وضع الإجابة الصحيحة https://t.co/SYwKIL13Vb
negative,على خطى أيفون.. هواتف أندرويد قد تخلو من منفذ سماعات الرأس https://t.co/LHy2Aw4fid https://t.co/OXW5jvMoIL
neutral,مدونة idwa: أندرويد: https://t.co/HuKogF6ZD9
neutral,استخدام لوحة مفاتيح الكمبيوتر للكتابة على هاتف #اندرويد https://t.co/s7BDUAkHcG https://t.co/ldJuZTI0t9
neutral,تفعيل الترجمة دون اتصال بالإنترنت علي iOS https://t.co/s7BDUAkHcG #iOS10 #ايفون https://t.co/gZPGCvME97
neutral,موقع لاستخراج روابط الـ APK من متجر سوق #جوجل https://t.co/s7BDUAkHcG https://t.co/DcCrxG1mjG
neutral,مساعد #جوجل الذكي لن يتوفر ضمن #أندرويد 7.1#تقنيةhttps://t.co/cJFkhAZZM2
neutral,مساعد جوجل الذكي لن يتوفر ضمن أندرويد 7.1 https://t.co/amOpxudUaA  #أخبار #تقنية #Tech https://t.co/TOAPGXSUPo
neutral,لا يفوتكم لعبة ألغاز عربية على أندرويد https://t.co/1CgIIjD2Fd
positive,تطبيق Trip Tracker لتتبع الرحلات على أجهزة أندرويدhttps://t.co/ZuHFTdlgaw https://t.co/Om0Nrz4ReI
positive,عاجل اليمن - تعرف على أسرع هاتف أندرويد في الولايات المتحدة - عاجل اليمن - تعرف على أسرع هاتف أندرويد في الولاي... https://t.co/54kt0rBjEo
positive,RT @RTarabic: أسرع هاتف #أندرويد في #الولايات_المتحدة#اسأل_أكثرhttps://t.co/pacXwHP12J https://t.co/FVvfZ24NFq
positive,أسرع هاتف #أندرويد في #الولايات_المتحدة#اسأل_أكثرhttps://t.co/LChqHgtiqo https://t.co/pap7jvCXa3
positive,طريقة تشغيل هاتف أندرويد في الوضع الآمن Safe Mode https://t.co/gGm7PblVYN
positive,تعرف على أسرع هاتف أندرويد في الولايات المتحدة https://t.co/XSa9JOzqgr
neutral,تطبيق Red Moon لفلترة ضوء الشاشة الأزرق على أجهزة أندرويدhttps://t.co/kpTwX2hIiU https://t.co/Zkyo1WIfeL
neutral,تطبيق GIPHY CAM متوفر الآن لنظام أندرويد https://t.co/ilSJQ8M3fz https://t.co/35clQqrqHv
positive,تطبيق لعشاق الكيمياء على أندرويد https://t.co/cS48p6R4N3
positive,RT @aitnews: ميزات حصرية لهواتف #بيكسل منها مساعد #جوجل الذكي Google Assistanthttps://t.co/cJFkhAZZM2
neutral,RT @ahmedaitnews: تطبيق GIPHY CAM لإنشاء الصور المتحركة وتطبيق التأثيرات المختلفة عليها بكل سهولة#نصائح_تقنيةhttps://t.co/I8Fuywyuux
neutral,"RT @aitnews: مساعد #جوجل الذكي Google Assistant لن يتوفر على #أندرويد نوغا"" باستثناء هواتف #بيكسل https://t.co/cJFkhAZZM2"""
positive,صندوق التلفاز YOKATV KB2 بنظام أندرويد 6 وجودة 4K - https://t.co/oyGkb4apiC#اندرويد #android https://t.co/jolp2m4RtF
positive,جوجل تعمل على دمج نظام أندرويد في السيارات https://t.co/Sq8L5BGXtC
positive,#صحيفة_الوئام أسوس «زين فون 3» أسرع هاتف أندرويد في الولايات المتحدة https://t.co/UawPQ9Qr8C #عاصفة_الحزم
neutral,تطبيق GIPHY CAM# متوفر الآن لنظام أندرويد https://t.co/ifOo52aLCr عبر @aitnews #giphy @giphy #gif
negative,الكشف عن شبكة برمجية خبيثة تتلقى الأوامرعبر #تويتر التفاصيل مع #نايلةالصليبي https://t.co/lngKUQM5Vu via @MC_Doualiya #TWITOOR #ANDROID
neutral,يتيح تطبيق GIPHY CAM إمكانية التقاط الصور المتحركة مباشرة ومن ثم إضافة الفلاتر#نصائح_تقنيةhttps://t.co/I8Fuywyuux
neutral,نوكيا تعود من جديد مع هاتف أندرويد منافس لسامسونج - https://t.co/GLgYjn9eH5 https://t.co/ka278kOcHR
positive,يُقدم تطبيق 24 hDone تجربة مميزة لإدارة المهام اليومية بفاعلية على أجهزة #أندرويد#نصائح_تقنيةhttps://t.co/LWGlR81bL3
positive,أفضل تطبيقات #أندرويد خلال الأسبوعhttps://t.co/TSD2htuESQ#تطبيقات#تقنية#نصائح_تقنية
positive,أندرويد 7.1 نوجا – الميّزات الجديدةhttps://t.co/AZOBvWfUeK#تقنية#نصائح_تقنية
positive,أسرع هاتف أندرويد في الولايات المتحدةهاشتاق عربي- إذا كنت ترغب في الحصول على أسرع هاتف ي… https://t.co/3sJbREGOFP https://t.co/Ry1pHSnVMS
neutral,رانسوموير يضرب هواتف أندرويد ويطلب بطاقات آي تيونز https://t.co/Jql74tRP7P #أخبار_الخلافة #إصدارات_الخلافة
neutral,الحاسب اللوحي Cube بنظامي وويندوز 10 وأندرويد و 4Gb ذاكرة الوصول العشوائي مع تخفيض مغري https://t.co/b2A6izvtv7
neutral,RT @HiaOnline: #جوجل تطلق #تطبيق #Allo على #أندرويد و #iOS#تقنيةhttps://t.co/t3OHLFhp97
positive,Nexus 9 LTE يحصل على تحديث #أندرويد نوجا 7.0 https://t.co/s7BDUAkHcG#اندرويد_نوجا https://t.co/N9vuHidxBE
neutral,إجراء اتصال صوتي فقط فى FaceTime https://t.co/s7BDUAkHcG#FaceTime #تطبيقات_ايفون #iOS https://t.co/v3mtjj2qLS
positive,أبل تنشئ أكاديمية لتعليم تطوير تطبيقات iOS https://t.co/s7BDUAkHcG#ابل_والجيلبريك #iOS10TH https://t.co/O33lsqymgb
positive,تحديث جديد لـOpera Max على منصة أندرويد يوفر تحسينات للخصوصية https://t.co/UW4jjjHDLo #البحرين #الكويت #السعودية #الإمارات #قطر #عمان #الم…
positive,ICQ على أندرويد يحصل على ميزة ردود الأفعال في القصص https://t.co/TybWbqxcfu https://t.co/b0q7An3htY
positive,RT @superus71417256: حمل الأن اخر تحديث للاندرويد  | أندرويد 7.0 نوجا #أندرويد_نوجاhttps://t.co/he5SvX8hN7 https://t.co/zabeuFdAyh
positive,تأكيد المواصفات الرسمية للهاتف نوكيا D1C العامل بنظام أندرويد https://t.co/elX39Cr1qO
positive,بقلم ممادو : تطبيقات #أندرويد هامة ستغير حياتك | https://t.co/D1DjWLpOMo #كلنا_مع_قياده_المراه_السعوديه… https://t.co/wv7q3syOQG
positive,أفضل تطبيقات أندرويد لهذا الأسبوعhttps://t.co/eP7pOPiyFo https://t.co/AAUqt7EqvD
positive,حل مشاكل أندرويد بعد التحديث الأخير https://t.co/HvLCLgHl51
neutral,جوجل تستبدل هانج أوت بتطبيقها الجديد Duo على هواتف أندرويد https://t.co/J4vOfQScQK #البحرين #الكويت #السعودية #الإمارات #قطر #عمان #المنام…
neutral,تفعيل الوضع الليلي على iOS https://t.co/s7BDUAkHcG#ابل #ايفون٧ via @H_watif https://t.co/pfKFHpM48W
negative,إيقاف استقبال المكالمات لفترة معينة علي iOS https://t.co/s7BDUAkHcG#iOS10TH #ايفون٧ https://t.co/5WaNuUUDvn
neutral,طريقة تغيير خطوط النظام في جهاز Galaxy S7 https://t.co/s7BDUAkHcG#هواتف_ذكية #سامسونج #GalaxyNote7 https://t.co/nBJS1Dhxtt
neutral,تثبيت #تطبيقات #الاندرويد من خلال الكمبيوتر https://t.co/s7BDUAkHcG#تطبيقات_اندرويد https://t.co/8EnfFn3qPz
positive,LifeTahrir: #لايف | منها خاصية طال انتظارها.. 8 مميزات حصرية في نظام تشغيل «#أندرويد نوجا»https://t.co/4QP4U3aGL8 https://t.co/EnZSfKlSAE
neutral,#لايف | هذا التطبيق يُخرج لك الخصائص السرية في هاتفك  #الأندوريد https://t.co/dJKp39Cs7M https://t.co/5OyJp36zMK
positive,3 تطبيقات ويدجت مفيدة لمستخدمي أندرويد https://t.co/MYV5YAklwJ via @aitnews
positive,3 تطبيقات ويدجت مفيدة لمستخدمي أندرويد: البوابة العربية للأخبار التقنيةنستعرض معكم في هذا الموضوع 3 تطبيقات... https://t.co/y9Mb2UlhcK
neutral,هاتف Nokia D1C يظهر على AnTuTu بنظام أندرويد 7.0 https://t.co/VejtyY66af https://t.co/xwsJantyVP
positive,ظهور صور ساعة HTC Halfbeak بنظام أندرويد ويرhttps://t.co/AefIFoXqUH #ريال_مدريد #برشلونة
positive,كيفية تحسين أداء بطارية هواتف أندرويدhttps://t.co/2dHlP7YUwk#نصائح_تقنية
positive,قائمة الأكواد المخفية في اندرويد https://t.co/s7BDUACi4e#اندرويد #هواتف_اندرويد https://t.co/DUNfw9bVZ7
positive,إخفاء محادثة مع شخص محدد على WhatsApp https://t.co/s7BDUACi4e#واتس_اب #WhatsApp #تطبيقات https://t.co/poLqMGAcJw
positive,4 متصفحات مميزة لهواتف أندرويد - https://t.co/dLSAi4o8Nk https://t.co/291y4zB4VA
neutral,حل مشكلة إعادة ضبط Apple ID وكلمة السر https://t.co/s7BDUACi4e#ابل #ios10problems https://t.co/b0Wu1sr0YK
positive,حل مشكلة قيد الانتظار Waiting في iOS https://t.co/s7BDUACi4e#ios10problems #ايفون_٧ https://t.co/savah5MwJN
positive,ياهو تدعم تطبيقها على أندرويد بميزة بصمة الإصبع https://t.co/P6rkpHKDfN
